0	1	2
/m/02vx4c2	/people/person/place_of_birth	/m/01n7q
/m/01skmp	/people/person/places_lived./people/place_lived/location	/m/02_286
/m/01nvmd_	/people/person/place_of_birth	/m/01_d4
/m/02sjp	/people/person/languages	/m/02bjrlw
/m/016dgz	/people/person/places_lived./people/place_lived/location	/m/02_286
/m/01gkmx	/people/person/sibling_s./people/sibling_relationship/sibling	/m/01fwpt
/m/01pkhw	/people/person/place_of_birth	/m/01xr6x
/m/01h4rj	/people/person/languages	/m/02h40lc
/m/03bxh	/people/person/places_lived./people/place_lived/location	/m/03pbf
/m/01t6b4	/people/person/places_lived./people/place_lived/location	/m/030qb3t
/m/01xg_w	/people/person/places_lived./people/place_lived/location	/m/0281rp
/m/01pqy_	/people/person/places_lived./people/place_lived/location	/m/03gh4
/m/027vps	/people/person/places_lived./people/place_lived/location	/m/02_286
/m/033tf_	/people/ethnicity/people	/m/01rrd4
/m/01cwhp	/people/person/employment_history./business/employment_tenure/company	/m/033hn8
/m/01kb2j	/people/person/places_lived./people/place_lived/location	/m/01cx_
/m/03fwln	/people/person/places_lived./people/place_lived/location	/m/01c0h6
/m/02l6dy	/people/person/languages	/m/02h40lc
/m/02w7gg	/people/ethnicity/people	/m/03gt0c5
/m/02w4fkq	/people/person/languages	/m/02h40lc
/m/02h761	/people/person/religion	/m/03_gx
/m/02mhfy	/people/person/spouse_s./people/marriage/type_of_union	/m/01g63y
/m/0175wg	/people/person/spouse_s./people/marriage/type_of_union	/m/01g63y
/m/03359d	/people/person/places_lived./people/place_lived/location	/m/03_3d
/m/02tc5y	/people/person/places_lived./people/place_lived/location	/m/017cjb
/m/02wb6d	/people/deceased_person/place_of_death	/m/030qb3t
/m/03d2k	/people/person/languages	/m/02h40lc
/m/01vswwx	/people/person/places_lived./people/place_lived/location	/m/02cft
/m/02wb6d	/people/person/religion	/m/03_gx
/m/01ggbx	/people/person/place_of_birth	/m/019fbp
/m/018dyl	/people/person/place_of_birth	/m/0156q
/m/015gjr	/people/person/spouse_s./people/marriage/type_of_union	/m/01g63y
/m/03bkbh	/people/ethnicity/people	/m/01tzm9
/m/01p7yb	/people/person/place_of_birth	/m/01_d4
/m/033tf_	/people/ethnicity/people	/m/02mjmr
/m/01507p	/people/person/place_of_birth	/m/019fh
/m/01vwllw	/people/person/spouse_s./people/marriage/type_of_union	/m/01g63y
/m/02d9k	/people/person/nationality	/m/02jx1
/m/01ynzf	/people/deceased_person/place_of_burial	/m/018mm4
/m/019dmc	/people/cause_of_death/people	/m/018qql
/m/02p5hf	/people/person/spouse_s./people/marriage/location_of_ceremony	/m/02h6_6p
/m/01pllx	/people/person/places_lived./people/place_lived/location	/m/02_286
/m/01y_px	/people/person/places_lived./people/place_lived/location	/m/02_286
/m/013qvn	/people/deceased_person/place_of_burial	/m/018mm4
/m/0146pg	/people/person/places_lived./people/place_lived/location	/m/030qb3t
		
/m/01r93l	/people/person/spouse_s./people/marriage/type_of_union	/m/01g63y
/m/01_j71	/people/person/places_lived./people/place_lived/location	/m/01531
/m/02ctzb	/people/ethnicity/people	/m/03knl
/m/03bxh	/people/person/places_lived./people/place_lived/location	/m/031y2
/m/01xcfy	/people/person/spouse_s./people/marriage/type_of_union	/m/01g63y
/m/015c2f	/people/person/spouse_s./people/marriage/type_of_union	/m/01g63y
/m/015wc0	/people/deceased_person/place_of_death	/m/0284jb
/m/02knxx	/people/cause_of_death/people	/m/01y8cr
/m/02sh8y	/people/person/places_lived./people/place_lived/location	/m/02_286
/m/01wttr1	/people/person/religion	/m/03j6c
/m/03dbds	/people/person/place_of_birth	/m/03l2n
/m/017gxw	/people/person/nationality	/m/02jx1
/m/02b25y	/people/person/languages	/m/02bjrlw
/m/02d42t	/people/person/spouse_s./people/marriage/type_of_union	/m/01g63y
/m/03p41	/people/cause_of_death/people	/m/01d0b1
/m/03lmx1	/people/ethnicity/people	/m/0159h6
/m/01nbq4	/people/person/languages	/m/02h40lc
/m/02qgqt	/people/person/spouse_s./people/marriage/type_of_union	/m/01g63y
/m/018_lb	/people/person/place_of_birth	/m/013gwb
/m/01syr4	/people/person/spouse_s./people/marriage/type_of_union	/m/01g63y
/m/033wx9	/people/person/places_lived./people/place_lived/location	/m/030qb3t
/m/02zhkz	/people/person/places_lived./people/place_lived/location	/m/02_286
/m/01rrwf6	/people/person/place_of_birth	/m/02dtg
/m/03l26m	/people/person/places_lived./people/place_lived/location	/m/02_286
/m/01_p6t	/people/person/languages	/m/02h40lc
/m/02wk4d	/people/person/languages	/m/012w70
/m/014635	/people/person/spouse_s./people/marriage/location_of_ceremony	/m/01mb87
/m/01bpnd	/people/person/languages	/m/02h40lc
/m/01s21dg	/people/person/places_lived./people/place_lived/location	/m/013yq
