id,edge,node
/m/03q2t9,people/person/profession,/m/03gjzk
/m/03pvt,people/person/profession,/m/01d_h8
/m/03nb5v,people/person/profession,/m/03gjzk
/m/03pmty,people/person/profession,/m/02hrh1q
/m/03p01x,people/person/profession,/m/01d_h8
/m/03q45x,people/person/profession,/m/02hrh1q
/m/03q43g,people/person/profession,/m/018gz8
/m/03np3w,people/person/profession,/m/02krf9
/m/03nyts,people/person/profession,/m/01nxfc
/m/03q3sy,people/person/profession,/m/02hrh1q
/m/03n08b,people/person/profession,/m/02hrh1q
/m/03q5dr,people/person/profession,/m/02hrh1q
/m/03nbbv,people/person/profession,/m/0196pc
/m/03pp73,people/person/profession,/m/02hrh1q
/m/03pmzt,people/person/profession,/m/018gz8
/m/03n_7k,people/person/profession,/m/02hrh1q
/m/03q43g,people/person/gender,/m/05zppz
/m/03pmzt,people/person/gender,/m/02zsn
/m/03nbbv,people/person/gender,/m/02zsn
/m/03pvt,people/person/gender,/m/05zppz
/m/03p01x,people/person/gender,/m/02zsn
/m/03nyts,people/person/gender,/m/02zsn
/m/03pmty,people/person/gender,/m/05zppz
/m/03q45x,people/person/gender,/m/02zsn
/m/03q3sy,people/person/gender,/m/02zsn
/m/03n08b,people/person/gender,/m/05zppz
/m/03q5dr,people/person/gender,/m/02zsn
/m/03pp73,people/person/gender,/m/05zppz
/m/03n_7k,people/person/gender,/m/02zsn
/m/03np3w,people/person/gender,/m/02zsn
/m/03q2t9,people/person/gender,/m/05zppz
/m/03nb5v,people/person/gender,/m/02zsn
