source,relation,target,true_label,score
/m/043kzcr,/people/person/gender,/m/02zsn,1.0,0.7246405124664307
/m/058s57,/people/person/gender,/m/02zsn,1.0,0.8113961338996887
/m/06wvfq,/people/person/gender,/m/05zppz,0.0,0.8292688608169556
/m/048_p,/people/person/gender,/m/05zppz,1.0,-0.7647150814533233
/m/0d02km,/people/person/gender,/m/02zsn,0.0,-0.7826207756996155
/m/0c7xjb,/people/person/gender,/m/05zppz,0.0,-0.7750222623348236
/m/079dy,/people/person/gender,/m/02zsn,0.0,0.8253084778785705
/m/0c3ns,/people/person/gender,/m/05zppz,1.0,-0.7959485948085785
/m/0c3kw,/people/person/gender,/m/05zppz,1.0,-0.7966408431529999
/m/05jcn8,/people/person/gender,/m/02zsn,0.0,-0.8102059125900268
/m/06b_0,/people/person/gender,/m/05zppz,1.0,0.8109127700328826
/m/079dy,/people/person/gender,/m/05zppz,1.0,-0.8162485003471375
/m/0bxy67,/people/person/gender,/m/02zsn,0.0,0.7849868834018707
/m/041_y,/people/person/gender,/m/05zppz,1.0,-0.8084793210029602
/m/07lwsz,/people/person/gender,/m/02zsn,0.0,0.7975648939609528
/m/0633p0,/people/person/gender,/m/05zppz,0.0,-0.7933984398841858
/m/06s27s,/people/person/gender,/m/02zsn,0.0,-0.7240100800991058
/m/051wwp,/people/person/gender,/m/05zppz,1.0,0.8148250162601471
/m/0443c,/people/person/gender,/m/05zppz,1.0,-0.7925568759441376
/m/03xb2w,/people/person/gender,/m/02zsn,0.0,0.7858772873878479
/m/05nzw6,/people/person/gender,/m/02zsn,0.0,0.8141323506832123
/m/0dky9n,/people/person/gender,/m/02zsn,0.0,-0.725744491815567
/m/04dyqk,/people/person/gender,/m/05zppz,1.0,-0.7948295593261718
/m/04kwbt,/people/person/gender,/m/05zppz,1.0,-0.7225461840629578
/m/07vfqj,/people/person/gender,/m/02zsn,0.0,-0.7787730455398559
/m/03q43g,/people/person/gender,/m/05zppz,1.0,0.8012462675571441
/m/051wwp,/people/person/gender,/m/02zsn,0.0,-0.8082306802272796
/m/05fg2,/people/person/gender,/m/05zppz,1.0,-0.7286809504032135
/m/06s27s,/people/person/gender,/m/05zppz,1.0,0.7242412984371185
/m/0bq4j6,/people/person/gender,/m/05zppz,1.0,-0.7933442175388337
/m/03q45x,/people/person/gender,/m/05zppz,0.0,-0.7939437448978424
/m/04_1nk,/people/person/gender,/m/02zsn,0.0,-0.7517860352993011
/m/0534nr,/people/person/gender,/m/05zppz,1.0,-0.723060792684555
/m/05zdk2,/people/person/gender,/m/02zsn,1.0,-0.7893337905406952
/m/044zvm,/people/person/gender,/m/02zsn,1.0,-0.7825904965400696
/m/0bvzp,/people/person/gender,/m/02zsn,0.0,-0.7682759821414947
/m/07fvf1,/people/person/gender,/m/05zppz,1.0,0.7934280812740326
/m/045bs6,/people/person/gender,/m/05zppz,1.0,0.8231718719005585
/m/0bqch,/people/person/gender,/m/05zppz,1.0,-0.7883612215518951
/m/0k29f,/people/person/gender,/m/05zppz,1.0,-0.7838265061378479
/m/07lwsz,/people/person/gender,/m/05zppz,1.0,-0.783280485868454
/m/0988cp,/people/person/gender,/m/05zppz,1.0,0.7854246914386749
/m/03z_g7,/people/person/gender,/m/02zsn,0.0,0.8072095811367035
/m/07hbxm,/people/person/gender,/m/02zsn,1.0,0.8110824882984161
/m/044qx,/people/person/gender,/m/02zsn,0.0,0.8308345973491669
/m/047jhq,/people/person/gender,/m/05zppz,0.0,0.8263557016849518
/m/070c93,/people/person/gender,/m/02zsn,1.0,-0.7838993310928345
/m/049fgvm,/people/person/gender,/m/05zppz,1.0,-0.8000653505325317
/m/071jrc,/people/person/gender,/m/05zppz,1.0,0.8045756995677948
/m/043kzcr,/people/person/gender,/m/05zppz,0.0,-0.7236578464508057
/m/0cfywh,/people/person/gender,/m/02zsn,0.0,-0.7975010395050048
/m/0bqch,/people/person/gender,/m/02zsn,0.0,0.7964995801448822
/m/043hg,/people/person/gender,/m/02zsn,0.0,0.815648365020752
/m/051z6rz,/people/person/gender,/m/02zsn,0.0,0.7790195226669312
/m/04bdqk,/people/person/gender,/m/02zsn,1.0,0.793092954158783
/m/03mz9r,/people/person/gender,/m/02zsn,0.0,-0.7674516439437866
/m/0738b8,/people/person/gender,/m/02zsn,0.0,0.8087802112102509
/m/03wjb7,/people/person/gender,/m/05zppz,1.0,-0.7929933190345764
/m/04dyqk,/people/person/gender,/m/02zsn,0.0,0.7975714802742004
/m/0fx02,/people/person/gender,/m/02zsn,0.0,-0.8119507551193237
/m/0b80__,/people/person/gender,/m/02zsn,0.0,0.801595801115036
/m/09fqd3,/people/person/gender,/m/05zppz,1.0,-0.7541360080242157
/m/064nh4k,/people/person/gender,/m/05zppz,0.0,0.7483621954917907
/m/087z12,/people/person/gender,/m/02zsn,0.0,-0.766380351781845
/m/08wq0g,/people/person/gender,/m/05zppz,1.0,-0.7750725030899048
/m/03q3sy,/people/person/gender,/m/05zppz,1.0,-0.768447858095169
/m/0863x_,/people/person/gender,/m/05zppz,1.0,0.7957220733165741
/m/0bkg4,/people/person/gender,/m/05zppz,1.0,0.8123824656009674
/m/0835q,/people/person/gender,/m/02zsn,0.0,-0.8129271566867828
/m/067sqt,/people/person/gender,/m/02zsn,1.0,-0.7236780762672425
/m/069z_5,/people/person/gender,/m/05zppz,1.0,0.8065001368522644
/m/0988cp,/people/person/gender,/m/02zsn,0.0,-0.7616919934749603
/m/03xk1_,/people/person/gender,/m/05zppz,1.0,0.7915112257003785
/m/09qc1,/people/person/gender,/m/05zppz,1.0,0.8127070724964142
/m/0cj2w,/people/person/gender,/m/02zsn,0.0,0.827669370174408
/m/0cj2nl,/people/person/gender,/m/05zppz,1.0,0.7932833135128021
/m/07h5d,/people/person/gender,/m/02zsn,0.0,0.8065648972988129
/m/04bs3j,/people/person/gender,/m/05zppz,0.0,-0.77907235622406
/m/07_m2,/people/person/gender,/m/05zppz,1.0,0.839040607213974
/m/060pl5,/people/person/gender,/m/05zppz,1.0,-0.7649339497089386
/m/05b4rcb,/people/person/gender,/m/02zsn,0.0,-0.7614550948143005
/m/0clvcx,/people/person/gender,/m/02zsn,1.0,-0.7799021184444428
/m/0clvcx,/people/person/gender,/m/05zppz,0.0,0.7979059994220734
/m/06yrj6,/people/person/gender,/m/02zsn,0.0,-0.7678874254226684
/m/0784v1,/people/person/gender,/m/02zsn,0.0,0.7242295205593109
/m/0h1q6,/people/person/gender,/m/05zppz,1.0,0.8186513125896454
/m/0bdt8,/people/person/gender,/m/05zppz,0.0,-0.8140793383121491
/m/07cjqy,/people/person/gender,/m/05zppz,1.0,-0.8073522865772247
/m/07q68q,/people/person/gender,/m/02zsn,0.0,-0.7264996886253356
/m/03z0l6,/people/person/gender,/m/05zppz,1.0,0.8218870222568512
/m/0466k4,/people/person/gender,/m/05zppz,1.0,0.817956018447876
/m/0fhxv,/people/person/gender,/m/05zppz,1.0,-0.7985573530197143
/m/03xp8d5,/people/person/gender,/m/02zsn,0.0,0.8265919029712677
/m/05myd2,/people/person/gender,/m/05zppz,1.0,-0.8033448755741119
/m/03q3sy,/people/person/gender,/m/02zsn,0.0,0.7834280908107758
/m/0gthm,/people/person/gender,/m/02zsn,0.0,-0.7717200875282287
/m/0f7hc,/people/person/gender,/m/02zsn,0.0,-0.8112869262695312
/m/05m63c,/people/person/gender,/m/05zppz,0.0,-0.7814995408058166
/m/0bkf72,/people/person/gender,/m/05zppz,1.0,0.7922714173793792
/m/0f1vrl,/people/person/gender,/m/05zppz,1.0,-0.8135128974914551
