0,1,2,3,4
/m/05bp8g,/people/person/nationality,/m/03_3d,1.0,1.0
/m/01wl38s,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
/m/044rvb,/people/person/place_of_birth,/m/02dtg,1.0,1.0
/m/041ly3,/people/person/place_of_birth,/m/02dtg,1.0,1.0
/m/02qflgv,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
/m/04hpck,/people/person/profession,/m/02hrh1q,1.0,1.0
/m/057d89,/people/person/profession,/m/03gjzk,1.0,1.0
/m/05fg2,/people/person/nationality,/m/02jx1,1.0,1.0
/m/02knnd,/people/person/places_lived./people/place_lived/location,/m/0284jb,1.0,1.0
/m/0292l3,/people/person/languages,/m/02h40lc,1.0,1.0
/m/033tf_,/people/ethnicity/people,/m/01wjrn,1.0,1.0
/m/044ntk,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
/m/01wp8w7,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
/m/02lkcc,/people/deceased_person/place_of_death,/m/030qb3t,1.0,1.0
/m/04nw9,/people/person/profession,/m/02hrh1q,1.0,1.0
/m/02c4s,/people/person/places_lived./people/place_lived/location,/m/01xd9,1.0,1.0
/m/02lxj_,/people/person/religion,/m/051kv,1.0,1.0
/m/028lc8,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
/m/049k07,/people/person/profession,/m/02hrh1q,1.0,1.0
/m/03xmy1,/people/person/languages,/m/04306rv,1.0,1.0
/m/01vb403,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
/m/02s2ft,/people/person/place_of_birth,/m/04f_d,1.0,1.0
/m/03j43,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
/m/041rx,/people/ethnicity/people,/m/022769,1.0,1.0
/m/02vmzp,/people/person/nationality,/m/03rk0,1.0,1.0
/m/04jlgp,/people/person/nationality,/m/02jx1,1.0,1.0
/m/01wyzyl,/people/person/religion,/m/02rxj,1.0,1.0
/m/03lt8g,/people/person/places_lived./people/place_lived/location,/m/030qb3t,1.0,1.0
/m/0277470,/people/person/profession,/m/02krf9,1.0,1.0
/m/03pmty,/people/person/place_of_birth,/m/02_286,1.0,1.0
/m/01vv7sc,/people/person/languages,/m/02h40lc,1.0,1.0
/m/03f2_rc,/people/person/gender,/m/02zsn,1.0,1.0
/m/0227tr,/people/person/languages,/m/02h40lc,1.0,1.0
/m/03pm9,/people/person/places_lived./people/place_lived/location,/m/02h6_6p,1.0,1.0
/m/01vv126,/people/person/profession,/m/039v1,1.0,1.0
/m/059t6d,/people/person/nationality,/m/03rt9,1.0,1.0
/m/01vsnff,/people/person/profession,/m/02hrh1q,1.0,1.0
/m/04cbtrw,/people/person/nationality,/m/03rk0,1.0,1.0
/m/046lt,/people/person/profession,/m/03gjzk,1.0,1.0
/m/03xl77,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
/m/031zkw,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
/m/01vwllw,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
/m/03mg35,/people/person/profession,/m/02hrh1q,1.0,1.0
/m/038rzr,/people/person/profession,/m/04gc2,1.0,1.0
/m/01yd8v,/people/person/gender,/m/02zsn,1.0,1.0
/m/05dbf,/people/person/languages,/m/02h40lc,1.0,1.0
/m/02xp18,/people/person/place_of_birth,/m/02_286,1.0,1.0
/m/041rx,/people/ethnicity/people,/m/02js6_,1.0,1.0
/m/02v3yy,/people/person/gender,/m/02zsn,1.0,1.0
/m/02w7gg,/people/ethnicity/people,/m/02fx3c,1.0,1.0
/m/03kdl,/people/person/religion,/m/025t7ly,1.0,1.0
/m/021yw7,/people/person/profession,/m/02jknp,1.0,1.0
/m/026_dcw,/people/person/profession,/m/03gjzk,1.0,1.0
/m/031296,/people/person/profession,/m/02hrh1q,1.0,1.0
/m/03lmx1,/people/ethnicity/languages_spoken,/m/02h40lc,1.0,1.0
/m/01wj18h,/people/person/gender,/m/02zsn,1.0,1.0
/m/01wxyx1,/people/person/profession,/m/02hrh1q,1.0,1.0
/m/04n_g,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
/m/0288crq,/people/person/nationality,/m/03rk0,1.0,1.0
/m/02h761,/people/person/nationality,/m/0345h,1.0,1.0
/m/01vrkdt,/people/person/gender,/m/02zsn,1.0,1.0
/m/05g8ky,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj,1.0,1.0
