id,predicted_label,true_label,sensitive_label,score
/m/0c31_,/m/0dgd_,/m/0frz0,/m/05zppz,1.0
/m/0byfz,/m/0frz0,/m/0frz0,/m/05zppz,1.0
/m/0gry51,/m/0frz0,/m/0frz0,/m/05zppz,1.0
/m/04y8r,/m/0frz0,/m/0frz0,/m/05zppz,1.0
/m/0dn44,/m/0kyk,/m/0frz0,/m/05zppz,1.0
/m/06z9yh,/m/0frz0,/m/0frz0,/m/05zppz,1.0
/m/0bksh,/m/0cbd2,/m/0cbd2,/m/02zsn,1.0
/m/05z775,/m/0kyk,/m/0frz0,/m/02zsn,1.0
/m/0dw3l,/m/05snw,/m/0cbd2,/m/05zppz,1.0
/m/06rq2l,/m/0frz0,/m/0frz0,/m/05zppz,1.0
/m/087qxp,/m/0frz0,/m/0frz0,/m/05zppz,1.0
/m/053y4h,/m/0frz0,/m/0frz0,/m/02zsn,1.0
/m/0693l,/m/05snw,/m/0dgd_,/m/05zppz,1.0
/m/042kg,/m/0cbd2,/m/0cbd2,/m/05zppz,1.0
/m/0ckm4x,/m/0frz0,/m/0frz0,/m/02zsn,1.0
/m/053yx,/m/0dgd_,/m/0frz0,/m/05zppz,1.0
/m/03y82t6,/m/0frz0,/m/0frz0,/m/02zsn,1.0
/m/04crrxr,/m/0cbd2,/m/0cbd2,/m/05zppz,1.0
/m/04n7njg,/m/0kyk,/m/0kyk,/m/05zppz,1.0
/m/06y0xx,/m/0dgd_,/m/0frz0,/m/05zppz,1.0
/m/0436kgz,/m/0dgd_,/m/0frz0,/m/05zppz,1.0
/m/04l19_,/m/0frz0,/m/0frz0,/m/05zppz,1.0
/m/03vrv9,/m/0dgd_,/m/0frz0,/m/05zppz,1.0
/m/09r1j5,/m/0dgd_,/m/0dgd_,/m/05zppz,1.0
/m/05vk_d,/m/0cbd2,/m/0cbd2,/m/02zsn,1.0
/m/06pcz0,/m/0frz0,/m/0frz0,/m/05zppz,1.0
/m/04xfb,/m/0fj9f,/m/0fj9f,/m/05zppz,1.0
/m/04zkj5,/m/0cbd2,/m/0frz0,/m/05zppz,1.0
/m/0582cf,/m/0frz0,/m/0frz0,/m/05zppz,1.0
